,word,frequency,sentiment
47226,vaccin,8917,neu
6917,case,7829,neu
44176,test,6120,neu
33415,peopl,5827,neu
10983,death,4884,neu
32758,pandem,4376,neu
19101,health,3993,neu
17268,get,3794,neu
37179,report,3752,neu
39073,say,3569,neu
45654,trump,3439,neu
34534,posit,3379,neu
10869,day,3360,neu
31861,one,3253,neu
44962,today,3249,neu
9740,covid,3070,neu
42114,state,2983,neu
44789,time,2822,neu
27284,may,2798,neu
9480,coronaviru,2754,neu
19294,help,2731,neu
9481,coronavirus,2726,neu
30122,need,2638,neu
49359,work,2547,neu
17907,govern,2416,neu
