,word,frequency,sentiment
30346,new,7595,pos
15726,first,2141,pos
25625,live,1356,pos
17774,good,1286,pos
16388,free,1096,pos
38488,safe,1041,pos
37673,right,1027,pos
24861,latest,962,pos
41213,social,938,pos
18066,great,902,pos
19497,high,870,pos
29158,much,768,pos
31748,old,719,pos
26009,love,688,pos
4406,best,586,pos
36496,real,567,pos
16635,full,564,pos
45104,top,564,pos
15146,far,544,pos
4447,better,509,pos
26556,major,489,pos
43108,sure,470,pos
49966,young,461,pos
423,action,430,pos
13652,elect,397,pos
