username,retweets,quotes,comments,likes,retweets-percent,quotes-percent,comments-percent,likes-percent
prashain,47024,12341,42876,391442,28.123729097390015,46.3459516298633,59.349694780117105,28.419503532454222
mrabro,30543,6987,16210,195784,18.26690749025143,26.2392969806219,22.438160098556263,14.21432569728853
eloyrangel97,24084,1209,298,124182,14.403961627712256,4.540333483551149,0.4124967124842545,9.01587154078313
JackiiiBee,15919,3159,2070,149419,9.520705246285974,11.863452005407842,2.865329512893983,10.848130242323965
AlBatrick,15582,612,1242,309065,9.3191550441377,2.298332582244254,1.7191977077363898,22.438761960285213
Teri0328,14827,893,8065,60364,8.86761082270759,3.353612738470783,11.163711363038633,4.3825519776443675
ohitsroodie,6714,160,289,50717,4.015454175737423,0.6008712633318312,0.4000387580803676,3.6821597086042908
yeuntrash,4534,371,84,49090,2.711657615846511,1.3932702418506835,0.11627424110294422,3.564036123891094
ssudhirkumar,2309,252,214,20347,1.3809478242147317,0.9463722397476341,0.2962224713813103,1.4772345286781847
robertwardle95,1975,97,93,4336,1.1811918375158488,0.3642782033949227,0.1287321955068311,0.31480262035428364
DebnamSource,1460,90,99,6579,0.8731848520370326,0.337990085624155,0.1370374984427557,0.4776490865569262
smoltoloopshi,1141,96,72,7439,0.6823999425851056,0.3605227579990987,0.09966363523109506,0.5400868756493349
celtic_stephen,900,324,555,8303,0.5382646348173489,1.2167643082469581,0.7682405215730244,0.6028150730631036
kerrycalderon,111,35,67,231,0.06638597162747302,0.13144058885383808,0.0927425494511579,0.016771080558542324
emailthebert,67,2,1,26,0.0400708117030693,0.00751089079164789,0.0013842171559874312,0.0018876540888402616
others,14,0,8,47,0.008373005430492094,0.0,0.01107373724789945,0.003412297775980473
