,count,date
0,37,2024-01-23
1,7,2024-01-19
2,5,2024-01-18
3,2,2023-12-29
4,1,2023-12-21
5,2,2023-12-19
6,4,2023-12-17
7,3,2023-11-29
8,1,2023-11-27
9,1,2023-11-25
10,3,2023-11-24
11,4,2023-11-17
12,4,2023-11-16
13,1,2023-11-13
14,1,2023-11-07
15,1,2023-07-17
16,6,2023-09-03
17,3,2023-09-01
18,1,2023-08-07
19,1,2023-08-06
20,1,2023-08-03
21,1,2023-08-02
22,4,2023-07-21
23,2,2023-07-13
24,3,2023-07-14
25,3,2023-07-10
26,2,2023-07-07
27,2,2023-07-03
28,1,2023-07-01
29,1,2023-06-30
30,1,2023-06-29
31,4,2023-06-28
32,2,2023-06-07
33,2,2023-06-03
34,2,2023-05-31
35,4,2023-05-28
36,18,2024-01-20
37,13,2024-01-16
38,9,2024-01-15
39,26,2024-01-14
40,2,2024-01-12
41,1,2024-01-08
42,2,2024-01-04
43,2,2023-12-24
44,2,2023-12-16
45,8,2023-12-10
46,1,2023-12-09
47,1,2023-12-08
48,3,2023-11-28
49,1,2023-09-11
50,1,2023-11-19
51,6,2023-11-18
52,1,2023-11-01
53,2,2023-11-03
54,1,2023-10-31
55,1,2023-10-30
56,1,2023-10-29
57,5,2023-10-28
58,4,2023-10-27
59,6,2023-10-24
60,1,2023-10-23
61,2,2023-08-19
62,1,2023-08-18
63,1,2022-11-03
64,1,2022-07-15
65,1,2022-03-27
66,1,2022-03-06
67,1,2022-02-04
68,1,2022-01-30
69,1,2022-01-28
70,2,2022-01-18
71,1,2021-12-24
72,3,2021-10-27
73,1,2021-09-01
74,1,2021-08-27
75,2,2021-08-06
76,1,2021-06-02
77,1,2021-01-28
78,1,2020-08-20
79,1,2020-07-25
80,1,2020-06-15
81,1,2020-06-07
82,1,2020-03-05
83,1,2019-12-06
84,1,2019-12-02
85,1,2019-11-26
86,1,2019-08-23
87,1,2019-08-03
88,1,2019-06-20
89,1,2019-06-08
90,3,2019-05-23
91,1,2019-05-16
92,1,2019-04-05
93,1,2019-03-03
94,1,2018-04-03
95,1,2019-02-13
96,1,2019-02-06
97,1,2019-01-31
98,4,2019-01-30
99,2,2018-12-07
100,1,2018-11-23
101,1,2018-11-01
102,1,2018-10-30
103,1,2018-10-17
104,1,2018-09-30
105,3,2018-09-14
106,1,2021-01-01
107,2,2020-12-31
108,2,2020-12-24
109,1,2020-12-23
110,1,2020-12-19
111,2,2020-12-17
112,2,2020-12-12
113,2,2020-12-10
114,1,2020-12-05
115,1,2020-12-03
116,1,2020-11-28
117,1,2020-11-27
118,2,2020-11-26
119,1,2020-11-21
120,2,2020-11-20
121,2,2020-11-19
122,2,2020-11-14
123,2,2020-11-12
124,1,2020-11-07
125,2,2020-11-05
126,1,2020-11-04
127,1,2020-10-30
128,2,2020-10-29
129,1,2020-10-27
130,1,2020-10-24
131,2,2020-10-22
132,1,2020-10-21
133,1,2020-10-20
134,1,2020-10-17
135,2,2020-10-14
136,1,2020-10-12
137,1,2020-10-10
138,1,2020-10-09
139,1,2020-10-07
140,1,2020-10-06
141,1,2020-10-05
142,1,2020-10-01
143,29,2024-01-21
144,1,2019-09-06
145,5,2024-01-17
146,1,2023-12-27
147,3,2023-12-26
148,1,2023-12-18
149,1,2023-12-12
150,2,2023-11-23
151,1,2023-12-01
152,2,2023-11-30
153,2,2023-11-22
154,1,2023-11-05
155,1,2023-10-25
156,4,2023-10-20
157,2,2023-10-15
158,8,2023-10-13
159,7,2023-10-11
160,6,2023-10-12
161,1,2016-12-11
162,40,2016-12-14
163,10,2016-12-13
164,1,2023-11-15
165,1,2023-12-25
166,1,2023-12-04
167,1,2020-05-25
168,1,2023-11-20
169,3,2023-10-22
170,1,2023-10-21
171,3,2023-10-07
172,1,2023-10-01
173,2,2023-09-30
174,1,2023-09-24
175,1,2023-09-20
176,1,2023-09-22
177,1,2023-09-18
178,2,2023-08-15
179,3,2023-08-12
180,1,2023-08-13
181,1,2023-07-30
182,3,2023-07-25
183,5,2023-07-22
184,1,2023-07-18
185,4,2023-07-15
186,1,2023-07-08
187,1,2023-05-21
188,1,2023-03-15
189,3,2023-01-27
190,1,2023-01-20
191,5,2023-01-19
192,1,2022-03-15
193,1,2021-03-17
194,1,2020-09-21
195,1,2020-09-15
196,1,2020-06-25
197,1,2020-06-28
198,1,2020-06-29
199,1,2020-03-22
200,1,2019-11-12
201,1,2019-11-11
202,1,2019-07-09
203,1,2019-07-06
204,2,2019-07-04
205,1,2019-07-03
206,1,2019-07-01
207,1,2019-06-30
208,10,2019-06-29
209,3,2019-06-28
210,24,2024-01-24
211,5,2024-01-25
