,day,count
0,2024-01-23,37
1,2024-01-19,7
2,2024-01-18,5
3,2023-12-29,2
4,2023-12-21,1
5,2023-12-19,2
6,2023-12-17,4
7,2023-11-29,3
8,2023-11-27,1
9,2023-11-25,1
10,2023-11-24,3
11,2023-11-17,4
12,2023-11-16,4
13,2023-11-13,1
14,2023-11-07,1
15,2023-07-17,1
16,2023-09-03,6
17,2023-09-01,3
18,2023-08-07,1
19,2023-08-06,1
20,2023-08-03,1
21,2023-08-02,1
22,2023-07-21,4
23,2023-07-13,2
24,2023-07-14,3
25,2023-07-10,3
26,2023-07-07,2
27,2023-07-03,2
28,2023-07-01,1
29,2023-06-30,1
30,2023-06-29,1
31,2023-06-28,4
32,2023-06-07,2
33,2023-06-03,2
34,2023-05-31,2
35,2023-05-28,4
36,2024-01-20,18
37,2024-01-16,13
38,2024-01-15,9
39,2024-01-14,26
40,2024-01-12,2
41,2024-01-08,1
42,2024-01-04,2
43,2023-12-24,2
44,2023-12-16,2
45,2023-12-10,8
46,2023-12-09,1
47,2023-12-08,1
48,2023-11-28,3
49,2023-09-11,1
50,2023-11-19,1
51,2023-11-18,6
52,2023-11-01,1
53,2023-11-03,2
54,2023-10-31,1
55,2023-10-30,1
56,2023-10-29,1
57,2023-10-28,5
58,2023-10-27,4
59,2023-10-24,6
60,2023-10-23,1
61,2023-08-19,2
62,2023-08-18,1
63,2022-11-03,1
64,2022-07-15,1
65,2022-03-27,1
66,2022-03-06,1
67,2022-02-04,1
68,2022-01-30,1
69,2022-01-28,1
70,2022-01-18,2
71,2021-12-24,1
72,2021-10-27,3
73,2021-09-01,1
74,2021-08-27,1
75,2021-08-06,2
76,2021-06-02,1
77,2021-01-28,1
78,2020-08-20,1
79,2020-07-25,1
80,2020-06-15,1
81,2020-06-07,1
82,2020-03-05,1
83,2019-12-06,1
84,2019-12-02,1
85,2019-11-26,1
86,2019-08-23,1
87,2019-08-03,1
88,2019-06-20,1
89,2019-06-08,1
90,2019-05-23,3
91,2019-05-16,1
92,2019-04-05,1
93,2019-03-03,1
94,2018-04-03,1
95,2019-02-13,1
96,2019-02-06,1
97,2019-01-31,1
98,2019-01-30,4
99,2018-12-07,2
100,2018-11-23,1
101,2018-11-01,1
102,2018-10-30,1
103,2018-10-17,1
104,2018-09-30,1
105,2018-09-14,3
106,2021-01-01,1
107,2020-12-31,2
108,2020-12-24,2
109,2020-12-23,1
110,2020-12-19,1
111,2020-12-17,2
112,2020-12-12,2
113,2020-12-10,2
114,2020-12-05,1
115,2020-12-03,1
116,2020-11-28,1
117,2020-11-27,1
118,2020-11-26,2
119,2020-11-21,1
120,2020-11-20,2
121,2020-11-19,2
122,2020-11-14,2
123,2020-11-12,2
124,2020-11-07,1
125,2020-11-05,2
126,2020-11-04,1
127,2020-10-30,1
128,2020-10-29,2
129,2020-10-27,1
130,2020-10-24,1
131,2020-10-22,2
132,2020-10-21,1
133,2020-10-20,1
134,2020-10-17,1
135,2020-10-14,2
136,2020-10-12,1
137,2020-10-10,1
138,2020-10-09,1
139,2020-10-07,1
140,2020-10-06,1
141,2020-10-05,1
142,2020-10-01,1
143,2024-01-21,29
144,2019-09-06,1
145,2024-01-17,5
146,2023-12-27,1
147,2023-12-26,3
148,2023-12-18,1
149,2023-12-12,1
150,2023-11-23,2
151,2023-12-01,1
152,2023-11-30,2
153,2023-11-22,2
154,2023-11-05,1
155,2023-10-25,1
156,2023-10-20,4
157,2023-10-15,2
158,2023-10-13,8
159,2023-10-11,7
160,2023-10-12,6
161,2016-12-11,1
162,2016-12-14,40
163,2016-12-13,10
164,2023-11-15,1
165,2023-12-25,1
166,2023-12-04,1
167,2020-05-25,1
168,2023-11-20,1
169,2023-10-22,3
170,2023-10-21,1
171,2023-10-07,3
172,2023-10-01,1
173,2023-09-30,2
174,2023-09-24,1
175,2023-09-20,1
176,2023-09-22,1
177,2023-09-18,1
178,2023-08-15,2
179,2023-08-12,3
180,2023-08-13,1
181,2023-07-30,1
182,2023-07-25,3
183,2023-07-22,5
184,2023-07-18,1
185,2023-07-15,4
186,2023-07-08,1
187,2023-05-21,1
188,2023-03-15,1
189,2023-01-27,3
190,2023-01-20,1
191,2023-01-19,5
192,2022-03-15,1
193,2021-03-17,1
194,2020-09-21,1
195,2020-09-15,1
196,2020-06-25,1
197,2020-06-28,1
198,2020-06-29,1
199,2020-03-22,1
200,2019-11-12,1
201,2019-11-11,1
202,2019-07-09,1
203,2019-07-06,1
204,2019-07-04,2
205,2019-07-03,1
206,2019-07-01,1
207,2019-06-30,1
208,2019-06-29,10
209,2019-06-28,3
210,2024-01-24,24
211,2024-01-25,5
